Danny Devito
Clint Eastwood
Wesley Snipes
Joe Pesci
George Hamilton
Jackie Chan
Jet Li
Jack Palance
Sean Penn
John Malkovich
Bruce Lee
Nicole Kidman
Chris Tucker 
Larry Fishbourne
Samuel L Jackson
Keanau Reeves
Will Smith
Tommy Lee Jones
Woody Harrelson
Sean Connery
Harrison Ford
Jeff Bridges
Stacy Keech
George Clooney
Sylvester Stallone
Jean Claude Van Damme
Arnold Schwarzenegger
Kim Basinger
Tom Cruise
Robert Redford
Andrew Dice Clay
Jennifer Anniston
Matt Damon
Bridget Fonda
Anthony Hopkins
Charlie Sheen
Juliet Lewis
Robert Downey Jr
Jim Carrey
Patrick Swayze
Chris Rock
Rodney Dangerfield
Kate Winslet
Heather Locklear
Leonardo DiCaprio
Mel Gibson
Bruce Willis
Quentin Tarantino
Harvey Keitel
Sigourney Weaver
Heather Graham
Burt Reynolds
Jennifer Love Hewitt
Drew Barrymore
Marylin Monroe
Adam Sandler
Cheech Marin
Mickey Rourke
Sharon Stone
Al Pacino
Marlon Brando
Robert Deniro
Jack Nicholson
Thomas Chong
